id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
38;0,34;82;1,9;667;137;0,10;0,8;NA;;;0,08;Tr;Tr;Tr; 
39;0,25;112;0,8;1516;148;0,10;0,5;NA;;;1,18;0,04;0,53;9,37;Tr
40;0,53;100;0,9;7;147;0,15;0,8;NA;;;0,18;0,02;Tr;3,57;Tr
41;0,40;118;0,9;15;134;0,14;0,8;Tr;;;0,11;0,05;0,03;4,37;Tr
42;0,02;13;0,1;8;9;0,02;0,1;NA;;;Tr;Tr;Tr;Tr;Tr
43;0,34;108;0,9;Tr;168;0,08;1,1;NA;26;13;0,25;Tr;Tr;0,75;Tr
44;0,12;113;0,4;1;185;0,05;0,5;NA;32;16;0,30;Tr;0,04;Tr;Tr
45;0,09;61;0,6;260;162;0,05;0,5;NA;48;24;Tr;0,05;Tr;3,74;1,7
46;Tr;273;42,0;15;Tr;Tr;15,2;1533;;;3,41;Tr;3,11;19,39;Tr
47;0,12;55;0,4;132;125;0,03;0,4;NA;;;Tr;Tr;Tr;Tr;Tr
48;1,08;182;4,7;606;210;0,14;1,7;Tr; ; ;0,09;0,03;0,08;Tr;Tr
49;0,57;153;3,3;663;296;0,16;1,5;NA;;;0,07;0,04;0,79;Tr;Tr
50;0,51;105;5,7;22;65;0,06;1,3;NA;;;0,04;0,03;Tr;Tr;Tr
51;0,37;110;3,0;507;89;0,10;0,8;Tr;;;0,08;Tr;0,08;Tr;Tr
52;1,62;193;3,0;506;163;0,15;1,6;NA;;;0,08;0,04;0,15;Tr;Tr
53;0,46;95;1,0;648;142;0,13;0,8;3;;;0,39;0,67;0,60;2,34; 
54;0,31;101;2,3;431;91;Tr;2,7;Tr; ; ;0,08;0,04;0,15;Tr;Tr
55;0,34;117;2,0;1309;166;0,11;1,7;Tr;;;0,06;0,03;Tr;1,58;Tr
56;0,22;90;2,5;1040;156;0,12;1,2;Tr;;;0,06;0,05;Tr;1,83;
57;0,24;168;1,0;985;103;0,10;1,0;Tr;;;0,07;0,03;Tr;Tr;Tr
58;0,20;124;1,3;821;124;0,10;0,8;18;;;0,09;0,04;Tr;Tr;Tr
59;0,38;73;1,1;1344;167;0,11;0,6;NA;;;0,15;Tr;Tr;Tr; 
60;0,36;62;1,4;1175;143;0,08;0,5;NA;;;0,16;Tr;Tr;Tr; 
61;0,65;225;1,2;4;256;0,46;2,0;NA;;;0,03;0,03;Tr;Tr;Tr
62;Tr;17;Tr;442;100;0,04;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
63;0,55;114;1,2;829;189;0,16;0,9;NA;;;0,38;Tr;Tr;Tr;Tr
64;0,26;33;0,3;1;199;0,06;0,3;NA;;;0,08;Tr;0,07;Tr;7,5
65;0,11;26;0,4;Tr;351;0,06;0,3;NA;446;223;Tr;Tr;0,10;Tr;5,1
66;0,01;12;0,2;Tr;165;0,02;Tr;NA;1108;554;0,07;Tr;0,04;Tr;1,5
67;0,01;8;Tr;Tr;125;0,05;0,1;NA;278;139;Tr;Tr;0,06;Tr;9,6
68;0,02;12;0,1;3;183;0,04;0,1;NA;95;48;0,05;Tr;0,05;Tr;6,7
69;0,07;32;0,3;1;264;0,09;0,2;NA;;;Tr;Tr;0,06;Tr;2,1
70;0,11;22;0,2;1;126;0,01;0,3;NA;;;0,05;Tr;0,06;Tr;2,1
71;0,09;32;0,2;Tr;253;0,05;0,2;NA;41;20;Tr;0,06;0,03;Tr;6,9
72;0,14;32;0,4;2;194;0,02;0,3;NA;42;21;0,04;Tr;Tr;Tr;7,5
73;0,11;33;0,2;1;213;0,10;0,2;NA;;;Tr;Tr;0,03;Tr;17,5
74;0,11;40;0,3;1;240;0,10;0,3;NA;;;0,04;Tr;0,16;Tr;22,6
75;0,28;51;3,1;7;218;0,10;0,7;NA;458;229;0,11;0,23;0,09;1,19;60,1
76;0,18;28;0,7;10;274;0,31;0,1;NA;916;458;Tr;Tr;0,18;Tr;5,9
77;0,12;19;0,3;7;136;0,02;0,2;NA;;;0,03;Tr;0,04;Tr;11,0
78;0,20;26;0,4;3;267;0,03;0,3;NA;234;117;0,11;0,12;Tr;1,09;15,6
79;0,33;26;0,6;4;349;0,03;0,3;NA;368;184;0,09;0,08;0,07;0,75;21,4
80;0,12;51;2,5;7;308;0,04;0,2;NA;312;156;Tr;Tr;Tr;Tr;13,5
81;0,15;50;1,3;5;261;0,15;0,7;NA;;;Tr;0,12;0,56;Tr;Tr
82;0,24;149;0,8;5;535;0,15;0,8;NA;;;0,18;Tr;0,44;Tr;*
83;0,10;36;0,6;2;224;0,29;0,2;NA;16;8;0,06;Tr;0,08;0,34;14,1
84;0,17;40;0,7;2;369;0,10;0,3;NA;566;283;0,10;0,18;Tr;0,63;1,7
85;0,28;31;1,6;15;315;0,06;0,2;NA;;;0,03;0,06;0,05;4,03;1,5
86;0,22;29;0,4;2;258;0,15;0,4;NA;;;0,06;Tr;Tr;1,98;17,1
87;0,07;45;0,3;Tr;505;0,05;0,2;NA;25;12;0,05;Tr;0,12;Tr;7,6
88;0,14;15;0,2;3;148;0,06;0,1;NA;;;0,08;Tr;0,05;2,57;23,8
89;0,18;36;0,4;9;340;0,11;0,2;NA;;;0,06;Tr;0,10;Tr;16,5
90;0,23;96;0,7;607;1014;0,12;0,6;NA;;;0,20;Tr;0,13;2,61;Tr
91;0,07;24;0,2;2;161;0,06;0,2;NA;;;0,05;Tr;0,08;Tr;3,8
92;0,10;39;0,4;Tr;302;0,09;0,2;NA;;;0,10;Tr;0,15;Tr;31,1
93;0,15;70;0,4;2;489;0,10;0,4;NA;;;0,17;Tr;0,10;2,51;16,3
94;0,08;32;0,3;8;199;0,05;0,2;NA;;;0,07;Tr;0,09;1,38;Tr
95;0,11;15;0,2;1;105;0,04;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
96;0,10;20;0,2;Tr;205;0,06;0,1;NA;24;12;0,04;0,05;Tr;Tr;3,0
97;0,19;30;0,2;23;245;0,04;0,4;NA;;;0,09;Tr;Tr;Tr;1,2
98;1,23;19;0,3;10;375;0,08;0,5;NA;;;0,04;Tr;0,04;Tr;3,1
99;0,08;23;1,8;98;54;0,04;0,1;Tr;;;Tr;0,03;0,07;Tr;Tr
100;0,12;33;0,5;2;119;0,08;0,2;NA;;;0,04;0,03;Tr;Tr;42,0
101;0,26;78;0,6;3;322;0,06;0,5;NA;279;140;0,12;0,18;0,08;1,39;34,3
102;0,02;28;0,3;1;203;0,11;0,2;NA;;;0,12;Tr;0,12;Tr;Tr
103;0,01;35;0,2;Tr;212;0,06;0,2;NA;;;0,11;Tr;0,02;Tr;8,8
104;0,89;77;4,5;14;279;0,37;6,0;NA;1906;953;Tr;0,10;0,11;Tr;5,4
105;0,34;32;3,1;9;412;0,27;0,5;NA;;;Tr;0,03;0,36;1,54;7,3
106;0,64;35;1,2;25;452;0,18;0,4;NA;850;425;0,04;Tr;0,03;0,60;Tr
107;0,13;38;0,2;1;176;0,05;0,2;NA;;;0,04;Tr;0,14;Tr;4,7
108;0,13;27;0,6;2;206;0,04;0,3;NA;134;67;0,03;0,04;0,08;Tr;31,8
109;0,05;27;0,1;8;176;0,02;0,2;NA;612;306;0,07;Tr;0,06;2,68;Tr
110;0,05;28;0,2;3;315;0,05;0,2;NA;1326;663;Tr;Tr;0,05;Tr;5,1
111;0,13;13;0,5;14;425;0,04;0,1;NA;;;0,03;0,10;Tr;0,68;6,5
112;0,07;13;0,1;2;54;Tr;0,1;NA;;;0,03;Tr;Tr;Tr;5,6
113;0,08;18;0,2;Tr;126;0,03;0,1;NA; ; ;Tr;Tr;Tr;Tr;10,6
114;10,48;388;81,4;18;3223;4,09;4,7;NA;;;0,10;0,11;0,09;Tr;40,8
115;1,02;49;0,5;6;403;0,06;0,4;NA;496;248;0,20;0,31;0,06;2,29;96,7
116;0,12;33;0,5;11;315;0,02;0,2;NA;384;192;Tr;0,05;0,07;Tr;76,9
117;0,16;57;0,5;3;256;0,03;0,3;NA;2;1;0,03;0,09;0,10;Tr;36,1
118;0,10;25;0,1;2;80;Tr;0,3;NA;;;0,04;Tr;Tr;Tr;23,7
119;0,71;25;0,4;17;336;0,06;0,3;NA;484;242;0,10;0,21;0,06;Tr;2,4
120;0,61;34;0,6;47;149;0,04;0,6;NA;624;312;0,08;0,13;0,13;Tr;5,3
121;Tr;42;1,1;1;340;0,08;0,4;NA;;;0,14;Tr;0,04;Tr;Tr
122;0,37;39;1,2;10;328;Tr;0,4;NA;;;Tr;Tr;0,81;Tr;Tr
123;0,16;33;1,4;4;338;0,07;0,3;NA;;;0,09;Tr;Tr;Tr;Tr
124;Tr;60;0,1;2;48;Tr;Tr;NA;;;0,03;Tr;Tr;Tr;Tr
125;0,19;75;0,8;2;189;0,17;0,6;NA;;;Tr;0,04;0,15;Tr;12,0
126;0,15;65;0,4;Tr;568;0,17;0,3;NA;;;0,08;Tr;0,11;Tr;5,6
127;0,14;29;0,3;Tr;213;0,07;0,1;NA;13;6;0,07;0,04;Tr;Tr;6,8
128;0,52;155;0,9;1;619;1,16;0,6;NA;;;0,13;0,02;0,20;Tr;13,8
129;0,06;22;0,1;1;100;0,01;0,2;NA;;;0,06;Tr;0,03;Tr;11,1
130;0,05;29;0,3;2;208;0,07;0,2;NA;;;Tr;Tr;0,04;Tr;16,5
131;0,29;45;1,4;575;201;Tr;0,2;NA;;;0,10;Tr;0,15;Tr;Tr
132;0,18;57;0,3;9;176;0,12;0,4;NA;;;0,05;Tr;0,04;Tr;Tr
133;0,17;40;1,0;4;252;0,16;0,5;NA;1035;517;0,06;0,21;0,06;0,90;2,3
134;0,07;25;0,4;11;328;0,02;0,2;NA;6;3;0,06;0,02;0,04;Tr;9,6
135;0,14;58;1,1;3;364;0,05;0,3;NA;;;0,05;0,04;0,05;Tr;38,6
136;0,30;68;1,6;7;164;0,10;0,5;15;;;0,08;Tr;0,04;Tr;Tr
137;4,42;17;0,2;2;280;0,02;0,2;NA;;;0,07;Tr;0,03;Tr;9,6
138;10,82;40;0,3;514;244;0,23;0,7;NA;;;0,06;0,04;Tr;Tr;2,0
139;0,14;55;0,2;563;206;0,08;0,4;NA;;;0,03;Tr;Tr;Tr;8,7
140;0,03;94;0,3;773;93;0,01;0,6;61;;;0,04;0,10;0,04;Tr; 
141;Tr;79;0,3;405;58;Tr;0,4;48;;;Tr;0,08;Tr;Tr; 
142;0,08;12;0,1;Tr;154;0,04;0,1;NA;4;2;Tr;0,03;Tr;Tr;5,0
143;0,08;22;0,4;Tr;221;0,04;0,2;NA;40;20;0,04;0,03;0,06;Tr;201,4
144;0,14;17;0,4;Tr;174;0,07;0,1;NA;46;23;Tr;Tr;Tr;Tr;100,2
145;0,06;20;0,3;Tr;211;0,04;0,2;NA;86;43;0,05;0,06;0,02;Tr;158,2
146;0,09;8;0,5;2;38;Tr;Tr;NA;;;Tr;Tr;Tr;Tr;Tr
147;0,46;56;0,4;1;249;0,17;0,6;NA;49;25;0,10;Tr;0,03;Tr;5,6
148;0,07;25;0,4;11;328;0,02;0,2;NA;;;0,06;0,02;0,04;Tr;9,6
149;0,13;14;0,2;4;150;0,02;0,2;NA;6;3;Tr;0,03;0,06;Tr;18,7
150;0,25;58;0,5;2;328;0,90;0,3;NA;;;0,07;Tr;0,09;Tr;43,2
151;0,26;59;0,5;3;321;0,02;0,3;NA;;;0,07;Tr;0,07;0,63;40,5
152;0,24;25;0,9;9;233;0,04;0,2;NA;533;266;0,04;Tr;Tr;0,35;46,3
153;1,88;49;3,2;2;711;0,20;1,3;NA;1743;872;0,12;0,15;0,47;0,72;51,7
154;0,13;49;1,1;398;122;0,08;0,5;NA;244;122;0,03;Tr;Tr;3,72;Tr
155;0,23;48;1,3;19;265;0,20;1,3;NA;1134;567;Tr;0,11;0,08;Tr;1,5
156;0,66;53;1,9;1;290;0,16;0,6;NA;1160;580;Tr;0,10;0,10;Tr;17,9
157;0,07;20;0,2;1;222;0,04;0,1;NA;54;27;0,12;Tr;0,02;Tr;21,2
158;0,18;47;2,1;498;680;0,20;0,4;NA;166;83;Tr;Tr;0,11;2,42;18,0
159;0,08;27;1,6;418;388;0,08;0,1;NA;76;38;Tr;Tr;0,06;Tr;2,7
160; ;30;1,3;104;308;0,09;0,3;NA;90;45;Tr;Tr;0,07;1,18;5,4
161;0,04;23;0,3;5;161;0,07;0,2;NA;;;0,06;0,04;0,05;Tr;12,8
162;0,50;28;0,4;Tr;208;0,06;0,3;NA;32;16;Tr;0,08;Tr;Tr;1,2
163;0,17;22;0,2;Tr;206;0,15;0,2;NA;;;Tr;0,04;Tr;Tr;8,7
164;1,62;13;0,3;Tr;131;0,11;0,1;NA;;;0,17;0,02;Tr;Tr;34,6
165;1,02;8;0,4;1;107;0,04;0,1;NA;2;1;0,05;Tr;Tr;Tr;1,2
166;0,08;20;0,2;Tr;128;0,09;0,1;NA;;;Tr;0,04;0,05;Tr;10,3
167;3,29;11;0,3;15;75;0,14;0,2;NA;;;Tr;Tr;0,07;Tr;10,3
168;6,16;16;0,4;5;124;0,18;0,3;NA;;;Tr;0,04;0,07;Tr;Tr
169;0,07;9;0,2;Tr;165;0,07;0,1;NA;247;124;Tr;0,04;Tr;1,38;941,4
170;0,03;13;0,2;1;112;0,04;0,1;NA;192;96;Tr;0,10;Tr;Tr;623,2
171;0,10;21;2,2;3;221;0,03;0,1;NA;;;Tr;0,23;0,37;Tr;4,3
172;0,03;14;0,1;Tr;134;0,06;0,1;NA;27;14;0,07;Tr;0,03;Tr;7,6
173;0,20;26;2,7;3;263;0,16;0,2;NA;;;Tr;0,22;0,08;Tr;5,2
174;0,16;23;0,2;1;300;0,17;0,2;NA;;;0,09;0,07;0,07;1,58;10,1
175;0,16;26;0,3;Tr;328;0,05;0,2;NA;239;119;0,03;0,02;0,14;Tr;15,7
176;0,84;37;0,6;10;518;0,16;0,3;NA;27;14;0,03;Tr;0,06;1,41;Tr
177;0,21;16;0,2;Tr;387;0,06;0,1;NA;;;0,09;Tr;0,03;Tr;17,5
178;0,60;29;0,2;Tr;264;0,11;0,1;NA;6;3;Tr;Tr;0,14;Tr;10,5
179;0,14;27;0,3;Tr;376;0,10;0,2;NA;14;7;Tr;0,02;0,14;Tr;5,9
180;0,09;22;0,3;Tr;355;0,08;0,3;NA;50;25;Tr;Tr;0,14;Tr;7,6
181;0,41;20;0,4;1;267;0,06;0,1;NA;;;0,05;0,03;0,17;Tr;Tr
182;0,42;22;0,4;Tr;358;0,05;0,1;NA;32;16;Tr;0,02;0,10;Tr;21,6
183;0,04;9;0,3;1;72;0,15;0,6;NA;;;0,25;Tr;0,04;Tr;13,6
184;0,05;24;0,2;1;119;0,02;0,2;NA;;;0,11;Tr;0,05;Tr;26,7
185;0,07;26;0,3;7;148;0,10;0,1;NA;106;53;0,04;Tr;Tr;Tr;Tr
186;0,12;16;0,2;3;124;0,07;0,1;NA;15;7;Tr;Tr;Tr;Tr;219,3
187;0,05;10;0,1;4;88;0,07;0,1;NA;22;11;Tr;0,02;Tr;2,25;119,7
188;0,06;11;0,1;45;107;0,04;0,1;NA;10;5;Tr;0,03;Tr;Tr;138,7
189;0,39;18;0,1;2;164;Tr;0,2;NA;;;Tr;Tr;0,03;Tr;29,6
190;0,13;11;0,2;4;133;0,08;0,2;NA;;;0,12;Tr;Tr;Tr;60,9
191;0,06;49;0,4;2;248;0,12;0,5;NA;;;0,14;Tr;Tr;Tr;27,0
192;0,07;21;0,5;3;331;0,07;0,3;NA;;;0,37;0,04;0,07;4,34;24,5
193;0,17;14;0,3;1;291;0,14;0,2;NA;;;0,07;0,07;0,05;Tr;10,5
194;0,06;15;0,2;Tr;174;0,13;0,1;NA;;;0,05;Tr;Tr;Tr;0,8
195;0,16;6;0,5;7;39;0,25;0,1;NA;;;Tr;Tr;Tr;Tr;5,2
196;0,04;27;0,2;1;188;0,07;0,1;NA;;;0,03;Tr;Tr;Tr;9,9
197;0,07;16;0,2;Tr;220;0,04;0,2;NA;;;Tr;Tr;0,03;Tr;99,2
198;0,11;54;0,4;4;165;0,06;0,1;NA;136;68;0,07;Tr;Tr;Tr;23,1
199;0,16;28;0,4;11;251;0,08;0,1;NA;50;25;Tr;Tr;Tr;1,41;34,3
200;0,09;15;0,2;Tr;198;0,04;0,1;NA;38;19;Tr;Tr;0,03;Tr;80,6
201;0,08;19;0,2;4;250;0,04;0,1;NA;;;0,17;0,12;0,03;Tr;19,1
202;0,06;17;0,1;3;170;0,06;0,1;NA;;;Tr;0,09;Tr;Tr;10,5
203;0,30;15;0,1;Tr;130;0,07;0,3;NA;;;0,06;Tr;Tr;Tr;16,2
204;0,48;14;0,4;2;234;0,09;0,2;NA;;;0,10;0,04;0,05;Tr;14,8
205;0,05;18;0,1;22;135;0,02;0,1;NA;;;0,08;Tr;Tr;1,18;3,8
206;Tr;4;0,0;1;394;0,03;0,0;NA;8;4;0,17;Tr;0,12;Tr;27,1
207;0,05;33;0,3;Tr;269;0,15;0,1;NA;5;3;Tr;Tr;0,06;Tr;70,8
208;0,04;24;0,1;Tr;174;0,04;0,1;NA;4;2;0,06;0,02;Tr;Tr;56,9
209;0,02;22;0,1;Tr;173;0,02;Tr;NA;4;2;0,03;Tr;0,02;Tr;94,5
210;0,04;20;0,1;1;173;0,04;0,2;NA;;;0,07;0,09;0,03;Tr;34,7
211;0,02;15;0,1;Tr;145;0,02;0,1;NA;4;2;0,04;Tr;0,04;Tr;44,3
212;0,05;15;0,1;1;130;0,03;0,1;NA;;;0,09;0,05;0,04;Tr;43,5
213;0,02;16;Tr;Tr;129;0,02;0,0;NA;;;0,10;0,03;0,04;Tr;41,3
214;0,05;23;0,1;Tr;163;0,03;0,1;NA;1;0;0,07;0,02;0,02;Tr;53,7
215;0,03;14;Tr;Tr;149;0,01;Tr;NA;1;1;Tr;Tr;Tr;Tr;73,3
216;0,06;20;0,1;1;158;0,04;0,1;NA;;;0,07;0,04;0,03;Tr;47,8
217;0,03;17;Tr;Tr;143;0,02;Tr;NA;2;1;*;*;0,03;Tr;*
218;0,03;11;0,1;Tr;120;0,03;;NA;31;16;Tr;Tr;Tr;Tr;32,8
219;0,01;13;0,1;Tr;113;0,02;0,1;NA;;;Tr;Tr;0,03;Tr;34,5
220;0,07;24;0,2;1;128;0,06;0,2;NA;;;0,30;0,04;Tr;Tr;38,2
221;0,01;11;0,1;1;117;0,03;Tr;NA;;;0,05;Tr;Tr;Tr;1,5
222;0,03;9;0,1;Tr;75;0,06;Tr;NA;4;2;Tr;Tr;0,03;Tr;2,4
223;0,08;44;0,8;1;306;0,35;0,7;NA;1020;510;0,11;0,11;0,03;Tr;13,4
224;0,02;4;0,1;3;68;0,02;0,1;NA;;;0,03;Tr;Tr;Tr;3,9
225;0,04;11;0,2;3;222;1,36;0,1;NA;148;74;0,03;0,03;Tr;Tr;78,5
226;0,01;11;0,2;2;126;0,02;0,1;NA;118;59;0,03;0,04;Tr;1,03;82,2
227;0,04;3;0,2;5;9;0,02;0,0;NA;;;Tr;Tr;Tr;Tr;Tr
228;0,17;9;0,1;1;148;0,10;0,1;NA;162;81;0,02;0,06;0,05;Tr;17,4
229;0,05;14;0,1;2;157;0,09;0,1;NA;787;393;0,09;0,03;Tr;Tr;65,5
230;0,12;9;0,1;7;131;0,06;0,1;NA;;;Tr;0,07;0,03;Tr;24,9
231;0,34;14;0,1;Tr;138;0,06;0,1;NA;118;59;Tr;0,04;0,03;Tr;7,9
232;0,12;51;0,6;2;338;0,19;0,4;NA;114;57;Tr;0,05;0,05;Tr;19,8
233;0,07;15;0,3;8;228;0,05;0,2;NA;;;Tr;0,09;0,06;Tr;7,3
234;0,07;14;0,3;22;201;0,05;0,1;NA;;;Tr;0,08;0,05;1,92;13,7
235;0,14;12;0,2;Tr;104;0,04;0,1;NA;61;31;Tr;Tr;Tr;Tr;6,1
236;0,05;10;0,2;11;216;0,04;0,1;NA;2;1;Tr;Tr;0,02;Tr;8,7
237;0,05;19;0,1;1;159;0,06;0,1;NA;;;0,08;0,07;0,05;Tr;21,8
238;0,05;14;0,1;2;125;0,07;0,2;NA;;;0,03;Tr;Tr;Tr;112,0
239;0,33;22;0,3;Tr;184;0,06;0,2;NA;;;Tr;0,03;0,03;Tr;63,6
240;0,07;10;0,1;Tr;113;0,12;0,1;NA;170;85;Tr;Tr;Tr;Tr;3,2
241;0,64;34;0,3;Tr;298;0,21;1,0;NA;60;30;0,17;0,48;0,06;2,57;8,3
242;0,04;12;0,3;1;102;0,08;0,1;NA;;;0,06;Tr;Tr;Tr;2,4
243;0,04;12;0,1;Tr;116;0,07;0,1;NA; ; ;Tr;Tr;Tr;Tr;2,8
244;0,05;15;0,2;Tr;124;0,02;0,1;NA;;;0,05;Tr;Tr;Tr;3,3
245;0,03;9;0,6;3;95;0,04;0,1;NA;48;24;Tr;Tr;Tr;Tr;Tr
246;0,15;34;0,2;1;283;0,11;0,2;NA;;;0,12;0,04;0,09;Tr;35,9
247;0,36;13;0,4;2;113;0,08;0,4;NA;154;77;0,03;0,10;Tr;Tr;24,9
248;0,05;12;0,4;5;87;0,06;0,1;NA;146;73;Tr;Tr;Tr;Tr;Tr
249;0,13;40;0,3;1;485;0,19;0,7;NA;;;0,12;0,17;0,05;Tr;8,1
250;0,34;55;0,6;0;723;0,29;0,7;NA;;;0,31;Tr;0,10;Tr;7,2
251;0,04;12;0,1;Tr;131;0,03;Tr;NA;47;24;0,06;0,02;0,02;Tr;48,8
252;0,02;9;Tr;Tr;119;0,02;Tr;NA;51;26;0,06;Tr;0,03;Tr;41,8
253;0,55;53;0,6;4;401;0,39;0,9;NA;2363;1181;0,04;Tr;0,11;Tr;18,0
254;0,03;13;0,1;Tr;152;0,04;0,4;NA;;;0,05;0,06;0,03;Tr;24,1
255;0,05;13;0,2;6;154;0,04;0,1;NA;;;Tr;0,06;Tr;Tr;4,0
256;0,13;12;0,1;Tr;162;0,11;Tr;NA;5;3;Tr;Tr;0,03;Tr;3,3
257;0,07;23;0,2;8;159;0,05;Tr;NA;;;0,02;0,02;Tr;Tr;1,9
258;0,20;10;0,1;10;54;0,13;0,1;NA;;;0,07;0,02;0,05;Tr;21,0
259;;;;;;;;NA;;;;;;;
260;;;;;;;;NA;;;;;;;
261;Tr;28;0,2;579;15;Tr;Tr;924;;;Tr;Tr;Tr;Tr;Tr
262;Tr;7;Tr;4;5;0,04;Tr;1013;;;Tr;Tr;Tr;Tr;Tr
263;Tr;7;0,1;894;21;Tr;Tr;462;;;Tr;Tr;Tr;Tr;Tr
264;Tr;4;0,1;78;2;Tr;Tr;534;;;Tr;Tr;Tr;Tr;Tr
265;Tr;6;Tr;561;15;Tr;Tr;385;;;Tr;Tr;Tr;Tr;Tr
266;Tr;7;0,1;33;5;Tr;Tr;245;;;Tr;Tr;Tr;Tr;Tr
267;;;;;;;;NA;;;;;;;
268;;;;;;;;NA;;;;;;;
269;;;;;;;;NA;;;;;;;
270;;;;;;;;NA;;;;;;;
271;;;;;;;;NA;;;;;;;
272;;;;;;;;NA;;;;;;;
273;Tr;338;0,5;334;156;0,03;0,5;Tr;Tr;Tr;Tr;Tr;Tr;0,44;
274;Tr;351;0,3;189;146;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;Tr;
275;0,01;91;0,1;79;148;0,14;0,4;Tr;Tr;Tr;0,04;Tr;Tr;4,60;
276;Tr;581;0,3;305;279;Tr;0,4;6;6;6;0,03;Tr;Tr;0,44;
277;Tr;211;1,2;362;280;0,04;0,6;Tr;Tr;Tr;0,15;0,03;Tr;3,17;
278;Tr;254;1,3;30;308;0,09;0,4;20;20;20;Tr;0,04;Tr;5,94;
