id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
138;10,82;40;0,3;514;244;0,23;0,7;NA;;;0,06;0,04;Tr;Tr;2,0
139;0,14;55;0,2;563;206;0,08;0,4;NA;;;0,03;Tr;Tr;Tr;8,7
140;0,03;94;0,3;773;93;0,01;0,6;61;;;0,04;0,10;0,04;Tr; 
141;Tr;79;0,3;405;58;Tr;0,4;48;;;Tr;0,08;Tr;Tr; 
142;0,08;12;0,1;Tr;154;0,04;0,1;NA;4;2;Tr;0,03;Tr;Tr;5,0
143;0,08;22;0,4;Tr;221;0,04;0,2;NA;40;20;0,04;0,03;0,06;Tr;201,4
144;0,14;17;0,4;Tr;174;0,07;0,1;NA;46;23;Tr;Tr;Tr;Tr;100,2
145;0,06;20;0,3;Tr;211;0,04;0,2;NA;86;43;0,05;0,06;0,02;Tr;158,2
146;0,09;8;0,5;2;38;Tr;Tr;NA;;;Tr;Tr;Tr;Tr;Tr
147;0,46;56;0,4;1;249;0,17;0,6;NA;49;25;0,10;Tr;0,03;Tr;5,6
148;0,07;25;0,4;11;328;0,02;0,2;NA;;;0,06;0,02;0,04;Tr;9,6
149;0,13;14;0,2;4;150;0,02;0,2;NA;6;3;Tr;0,03;0,06;Tr;18,7
150;0,25;58;0,5;2;328;0,90;0,3;NA;;;0,07;Tr;0,09;Tr;43,2
151;0,26;59;0,5;3;321;0,02;0,3;NA;;;0,07;Tr;0,07;0,63;40,5
152;0,24;25;0,9;9;233;0,04;0,2;NA;533;266;0,04;Tr;Tr;0,35;46,3
153;1,88;49;3,2;2;711;0,20;1,3;NA;1743;872;0,12;0,15;0,47;0,72;51,7
154;0,13;49;1,1;398;122;0,08;0,5;NA;244;122;0,03;Tr;Tr;3,72;Tr
155;0,23;48;1,3;19;265;0,20;1,3;NA;1134;567;Tr;0,11;0,08;Tr;1,5
156;0,66;53;1,9;1;290;0,16;0,6;NA;1160;580;Tr;0,10;0,10;Tr;17,9
157;0,07;20;0,2;1;222;0,04;0,1;NA;54;27;0,12;Tr;0,02;Tr;21,2
158;0,18;47;2,1;498;680;0,20;0,4;NA;166;83;Tr;Tr;0,11;2,42;18,0
159;0,08;27;1,6;418;388;0,08;0,1;NA;76;38;Tr;Tr;0,06;Tr;2,7
160; ;30;1,3;104;308;0,09;0,3;NA;90;45;Tr;Tr;0,07;1,18;5,4
161;0,04;23;0,3;5;161;0,07;0,2;NA;;;0,06;0,04;0,05;Tr;12,8
162;0,50;28;0,4;Tr;208;0,06;0,3;NA;32;16;Tr;0,08;Tr;Tr;1,2
