id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg);;;
35;0,46;115;1,0;1;151;0,15;0,8;NA;;;0,31;Tr;Tr;0,89;Tr;;;
36;1,49;296;8,7;125;366;0,19;1,7;492;;;1,43;1,13;1,14;9,50;24,3;;;
37;0,20;42;1,2;207;54;0,07;0,4;NA;;;0,04;Tr;Tr;3,96; ;;;
38;0,34;82;1,9;667;137;0,10;0,8;NA;;;0,08;Tr;Tr;Tr; ;;;
39;0,25;112;0,8;1516;148;0,10;0,5;NA;;;1,18;0,04;0,53;9,37;Tr;;;
40;0,53;100;0,9;7;147;0,15;0,8;NA;;;0,18;0,02;Tr;3,57;Tr;;;
41;0,40;118;0,9;15;134;0,14;0,8;Tr;;;0,11;0,05;0,03;4,37;Tr;;;
42;0,02;13;0,1;8;9;0,02;0,1;NA;;;Tr;Tr;Tr;Tr;Tr;;;
43;0,34;108;0,9;Tr;168;0,08;1,1;NA;26;13;0,25;Tr;Tr;0,75;Tr;;;
44;0,12;113;0,4;1;185;0,05;0,5;NA;32;16;0,30;Tr;0,04;Tr;Tr;;;
45;0,09;61;0,6;260;162;0,05;0,5;NA;48;24;Tr;0,05;Tr;3,74;1,7;;;
46;Tr;273;42,0;15;Tr;Tr;15,2;1533;;;3,41;Tr;3,11;19,39;Tr;;;
47;0,12;55;0,4;132;125;0,03;0,4;NA;;;Tr;Tr;Tr;Tr;Tr;;;
48;1,08;182;4,7;606;210;0,14;1,7;Tr; ; ;0,09;0,03;0,08;Tr;Tr;;;
49;0,57;153;3,3;663;296;0,16;1,5;NA;;;0,07;0,04;0,79;Tr;Tr;;;
50;0,51;105;5,7;22;65;0,06;1,3;NA;;;0,04;0,03;Tr;Tr;Tr;;;
51;0,37;110;3,0;507;89;0,10;0,8;Tr;;;0,08;Tr;0,08;Tr;Tr;;;
52;1,62;193;3,0;506;163;0,15;1,6;NA;;;0,08;0,04;0,15;Tr;Tr;;;
53;0,46;95;1,0;648;142;0,13;0,8;3;;;0,39;0,67;0,60;2,34; ;;;
54;0,31;101;2,3;431;91;Tr;2,7;Tr; ; ;0,08;0,04;0,15;Tr;Tr;;;
55;0,34;117;2,0;1309;166;0,11;1,7;Tr;;;0,06;0,03;Tr;1,58;Tr;;;
56;0,22;90;2,5;1040;156;0,12;1,2;Tr;;;0,06;0,05;Tr;1,83;;;;
57;0,24;168;1,0;985;103;0,10;1,0;Tr;;;0,07;0,03;Tr;Tr;Tr;;;
58;0,20;124;1,3;821;124;0,10;0,8;18;;;0,09;0,04;Tr;Tr;Tr;;;
59;0,38;73;1,1;1344;167;0,11;0,6;NA;;;0,15;Tr;Tr;Tr; ;;;
60;0,36;62;1,4;1175;143;0,08;0,5;NA;;;0,16;Tr;Tr;Tr; ;;;
61;0,65;225;1,2;4;256;0,46;2,0;NA;;;0,03;0,03;Tr;Tr;Tr;;;
62;Tr;17;Tr;442;100;0,04;0,1;NA;;;0,04;Tr;Tr;Tr;Tr;;;
63;0,55;114;1,2;829;189;0,16;0,9;NA;;;0,38;Tr;Tr;Tr;Tr;;;
