id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Proteina(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg);;;;
360;Carne, bovina, flanco, sem gordura, cru;72,1;141;592;20,0;6,2;50;0,0;NA;1,0;3;18;;;;
361;Carne, bovina, fraldinha, com gordura, cozida;49,7;338;1416;24,2;26,0;65;0,0;NA;0,7;3;14;;;;
362;Carne, bovina, fraldinha, com gordura, crua;65,4;221;924;17,6;16,1;54;0,0;NA;0,9;3;16;;;;
363;Carne, bovina, lagarto, cozido;57,6;222;931;32,9;9,1;56;0,0;NA;0,9;4;13;;;;
364;Carne, bovina, lagarto, cru;71,0;135;564;20,5;5,2;56;0,0;NA;1,1;3;20;;;;
365;Carne, bovina, língua, cozida;53,4;315;1318;21,4;24,8;105;0,0;NA;0,7;6;12;;;;
366;Carne, bovina, língua, crua;65,0;215;901;17,1;15,8;118;0,0;NA;0,8;5;15;;;;
367;Carne, bovina, maminha, crua;70,0;153;639;20,9;7,0;51;0,0;NA;1,0;3;16;;;;
368;Carne, bovina, maminha, grelhada;65,3;153;641;30,7;2,4;88;0,0;NA;1,4;4;21;;;;
369;Carne, bovina, miolo de alcatra, sem gordura, cru;69,5;163;681;21,6;7,8;60;0,0;NA;1,0;3;20;;;;
370;Carne, bovina, miolo de alcatra, sem gordura, grelhado;52,4;241;1010;31,9;11,6;92;0,0;NA;1,2;5;26;;;;
371;Carne, bovina, músculo, sem gordura, cozido;62,8;194;811;31,2;6,7;56;0,0;NA;0,9;5;13;;;;
372;Carne, bovina, músculo, sem gordura, cru;72,4;142;592;21,6;5,5;51;0,0;NA;1,0;4;17;;;;
373;Carne, bovina, paleta, com gordura, crua;70,6;159;664;21,4;7,5;58;0,0;NA;0,9;4;14;;;;
374;Carne, bovina, paleta, sem gordura, cozida;62,9;194;810;29,7;7,4;56;0,0;NA;0,8;6;18;;;;
375;Carne, bovina, paleta, sem gordura, crua;72,1;141;590;21,0;5,7;42;0,0;NA;1,0;4;18;;;;
376;Carne, bovina, patinho, sem gordura, cru;72,9;133;558;21,7;4,5;56;0,0;NA;1,0;3;20;;;;
377;Carne, bovina, patinho, sem gordura, grelhado;55,2;219;917;35,9;7,3;126;0,0;NA;1,3;5;27;;;;
378;Carne, bovina, peito, sem gordura, cozido;51,2;338;1416;22,2;27,0;100;0,0;NA;0,7;4;14;;;;
379;Carne, bovina, peito, sem gordura, cru;61,5;259;1085;17,6;20,4;59;0,0;NA;0,9;4;15;;;;
380;Carne, bovina, picanha, com gordura, crua;65,6;213;891;18,8;14,7;60;0,0;NA;0,9;2;14;;;;
381;Carne, bovina, picanha, com gordura, grelhada;53,4;289;1208;26,4;19,5;92;0,0;NA;1,1;4;24;;;;
382;Carne, bovina, picanha, sem gordura, crua;72,4;134;559;21,3;4,7;75;0,0;NA;1,0;3;20;;;;
383;Carne, bovina, picanha, sem gordura, grelhada;54,6;238;998;31,9;11,3;100;0,0;NA;1,2;4;25;;;;
384;Carne, bovina, seca, cozida;47,2;313;1309;26,9;21,9;100;0,0;NA;4,7;13;12;;;;
385;Carne, bovina, seca, crua;39,2;313;1309;19,7;25,4;92;0,0;NA;15,3;14;12;;;;
386;Coxinha de frango, frita;42,2;283;1184;9,6;11,8;15;34,5;5,0;1,8;18;17;;;;
387;Croquete, de carne, cru;56,0;246;1028;12,0;15,6;30;13,9;;2,5;15;24;;;;
388;Croquete, de carne, frito;39,2;347;1451;16,9;22,7;38;18,1;;3,1;18;30;;;;
389;Empada de frango, pré-cozida, assada;28,2;358;1499;6,9;15,6;23;47,5;2,2;1,8;16;18;;;;
390;Empada, de frango, pré-cozida;32,0;377;1579;7,3;22,9;23;35,5;2,2;2,2;14;17;;;;
391;Frango, asa, com pele, crua;67,5;213;892;18,1;15,1;113;0,0;NA;0,7;11;23;;;;
392;Frango, caipira, inteiro, com pele, cozido;59,7;243;1016;23,9;15,6;110;0,0;NA;0,8;17;18;;;;
393;Frango, caipira, inteiro, sem pele, cozido;61,4;196;819;29,6;7,7;106;0,0;NA;1,1;66;23;;;;
394;Frango, coração, cru;69,1;222;927;12,6;18,6;159;0,0;NA;0,8;6;20;;;;
395;Frango, coração, grelhado;63,5;207;867;22,4;12,1;280;0,6;NA;1,3;8;20;;;;
396;Frango, coxa, com pele, assada;59,8;215;900;28,5;10,4;145;0,1;NA;1,3;8;14;;;;
397;Frango, coxa, com pele, crua;72,9;161;676;17,1;9,8;97;0,0;NA;0,8;8;26;;;;
398;Frango, coxa, sem pele, cozida;66,7;167;701;26,9;5,8;133;0,0;NA;0,9;12;11;;;;
399;Frango, coxa, sem pele, crua;76,4;120;502;17,8;4,9;91;0,0;NA;0,9;8;27;;;;
400;Frango, fígado, cru;77,8;106;446;17,6;3,5;341;0,0;NA;1,2;6;28;;;;
401;Frango, filé, à milanesa;54,9;221;924;28,5;7,8;84;7,5;1,1;1,3;9;35;;;;
402;Frango, inteiro, com pele, cru;66,5;226;947;16,4;17,3;85;0,0;NA;0,7;6;24;;;;
403;Frango, inteiro, sem pele, assado;63,2;187;784;28,0;7,5;111;0,0;NA;1,2;9;14;;;;
404;Frango, inteiro, sem pele, cozido;67,5;170;713;25,0;7,1;99;0,0;NA;0,9;8;12;;;;
405;Frango, inteiro, sem pele, cru;74,9;129;540;20,6;4,6;78;0,0;NA;0,9;7;27;;;;
406;Frango, peito, com pele, assado;58,5;212;886;33,4;7,6;109;0,0;NA;1,5;8;18;;;;
407;Frango, peito, com pele, cru;71,9;149;625;20,8;6,7;80;0,0;NA;0,9;8;28;;;;
408;Frango, peito, sem pele, cozido;65,6;163;681;31,5;3,2;89;0,0;NA;1,0;6;14;;;;
409;Frango, peito, sem pele, cru;74,8;119;499;21,5;3,0;59;0,0;NA;1,0;7;31;;;;
410;Frango, peito, sem pele, grelhado;63,8;159;666;32,0;2,5;89;0,0;NA;1,4;5;18;;;;
411;Frango, sobrecoxa, com pele, assada;55,0;260;1086;28,7;15,2;158;0,0;NA;1,3;11;15;;;;
412;Frango, sobrecoxa, com pele, crua;63,6;255;1065;15,5;20,9;88;0,0;NA;0,8;7;22;;;;
413;Frango, sobrecoxa, sem pele, assada;55,6;233;974;29,2;12,0;145;0,0;NA;1,5;12;17;;;;
414;Frango, sobrecoxa, sem pele, crua;72,7;162;677;17,6;9,6;84;0,0;NA;0,9;6;26;;;;
415;Hambúrguer, bovino, cru;63,6;215;899;13,2;16,2;70;4,2;*;2,9;34;25;;;;
416;Hambúrguer, bovino, frito;52,5;258;1081;20,0;17,0;49;6,3;*;4,2;62;60;;;;
417;Hambúrguer, bovino, grelhado;59,2;210;878;13,2;12,4;59;11,3;*;3,9;56;48;;;;
418;Lingüiça, frango, crua;64,8;218;913;14,2;17,4;64;0,0;NA;3,3;11;19;;;;
419;Lingüiça, frango, frita;59,6;245;1027;18,3;18,5;76;0,0;NA;3,8;15;29;;;;
420;Lingüiça, frango, grelhada;58,6;244;1019;18,2;18,4;80;0,0;NA;3,8;14;21;;;;
421;Lingüiça, porco, crua;62,5;227;951;16,1;17,6;53;0,0;NA;3,2;6;14;;;;
422;Lingüiça, porco, frita;54,6;280;1170;20,5;21,3;75;0,0;NA;3,9;8;18;;;;
423;Lingüiça, porco, grelhada;50,5;296;1241;23,2;21,9;82;0,0;NA;4,0;8;19;;;;
424;Mortadela;56,4;269;1125;12,0;21,6;83;5,8;NA;4,1;67;19;;;;
425;Peru, congelado, assado;65,3;163;682;26,2;5,7;91;0,0;NA;2,2;14;12;;;;
426;Peru, congelado, cru;78,2;94;392;18,1;1,8;68;0,0;NA;2,5;10;19;;;;
427;Porco, bisteca, crua;67,7;164;687;21,5;8,0;56;0,0;NA;1,0;6;24;;;;
428;Porco, bisteca, frita;47,3;311;1302;33,7;18,5;126;0,0;NA;1,6;69;29;;;;
429;Porco, bisteca, grelhada;51,8;280;1172;28,9;17,4;82;0,0;NA;1,2;34;25;;;;
430;Porco, costela, assada;36,9;402;1683;30,2;30,3;113;0,0;NA;1,4;17;14;;;;
431;Porco, costela, crua;61,2;256;1069;18,0;19,8;69;0,0;NA;0,9;15;18;;;;
432;Porco, lombo, assado;56,6;210;880;35,7;6,4;103;0,0;NA;1,4;20;18;;;;
433;Porco, lombo, cru;67,7;176;735;22,6;8,8;55;0,0;NA;1,0;4;24;;;;
434;Porco, orelha, salgada, crua;59,7;258;1082;18,5;19,9;83;0,0;NA;2,0;5;2;;;;
435;Porco, pernil, assado;49,3;262;1097;32,1;13,9;110;0,0;NA;1,4;18;27;;;;
436;Porco, pernil, cru;67,1;186;778;20,1;11,1;59;0,0;NA;1,0;13;23;;;;
437;Porco, rabo, salgado, cru;43,8;377;1579;15,6;34,5;89;0,0;NA;3,5;22;4;;;;
438;Presunto, com capa de gordura;73,9;128;535;14,4;6,8;40;1,4;NA;3,5;12;17;;;;
439;Presunto, sem capa de gordura;77,2;94;392;14,3;2,7;36;2,1;NA;3,7;23;18;;;;
440;Quibe, assado;69,0;136;570;14,6;2,7;34;12,9;1,9;0,9;16;36;;;;
441;Quibe, cru;74,5;109;458;12,4;1,7;27;10,8;1,6;0,7;12;26;;;;
442;Quibe, frito;54,0;254;1062;14,9;15,8;38;12,3;;3,0;22;39;;;;
443;Salame;34,7;398;1665;25,8;30,6;85;2,9;NA;5,9;87;30;;;;
444;Toucinho, cru;27,6;593;2479;11,5;60,3;73;0,0;NA;0,3;2;4;;;;
445;Toucinho, frito;6,3;697;2914;27,3;64,3;89;0,0;NA;0,7;9;9;;;;
