id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
378;Tr;136;1,6;56;204;0,05;3,9;Tr;Tr;Tr;Tr;0,30;Tr;4,54;
379;Tr;124;1,3;64;241;0,06;2,6;4;4;4;0,11;0,07;0,03;3,91;
380;Tr;165;1,7;38;232;0,06;3,8;3;3;3;0,13;0,16;Tr;4,77;
381;Tr;246;3,2;60;355;0,14;5,5;Tr;Tr;Tr;0,03;0,06;0,13;1,60;
382;Tr;183;2,1;61;322;0,08;4,2;Tr;Tr;Tr;Tr;0,05;Tr;1,89;
383;0,02;282;3,6;61;377;0,17;6,7;Tr;Tr;Tr;Tr;0,08;0,03;1,82;
384;0,02;82;1,9;1943;86;0,03;7,7;Tr;Tr;Tr;Tr;0,06;Tr;2,32;
385;0,01;100;1,3;4440;190;Tr;3,7;Tr;Tr;Tr;Tr;0,07;Tr;2,83;
386;0,28;93;1,3;532;166;0,09;0,5;Tr;;;0,09;Tr;Tr;2,60;Tr
387;0,34;144;2,5;711;221;0,10;2,7;Tr;;;0,11;0,04;Tr;1,95;Tr
388;0,39;176;2,3;916;313;0,09;3,3;Tr;;;0,14;0,04;Tr;4,77;Tr
389;0,32;78;1,2;525;138;0,07;0,6;Tr;;;0,12;Tr;Tr;Tr; 
390;0,25;78;0,7;771;156;0,09;0,5;Tr;;;0,11;Tr;0,03;Tr; 
391;0,01;155;0,6;96;211;0,02;1,2;10;10;10;0,11;0,04;Tr;2,58;
392;0,01;162;1,7;56;210;0,08;1,7;16;16;16;0,03;Tr;Tr;6,33;
393;0,02;210;2,1;53;224;0,15;2,7;6;6;6;0,03;0,03;Tr;9,20;
394;0,05;193;4,1;95;220;0,20;2,0;9;9;9;0,23;0,35;Tr;3,39;
395;0,06;276;6,5;128;243;0,30;3,4;Tr;Tr;Tr;0,20;0,19;Tr;9,70;
396;Tr;251;1,2;95;318;0,05;2,6;6;6;6;0,05;0,05;Tr;10,40;
397;0,02;185;0,7;95;275;0,03;2,0;10;10;10;0,16;0,05;Tr;2,04;
398;Tr;187;0,8;64;191;0,03;2,8;Tr;Tr;Tr;0,07;Tr;Tr;8,20;
399;0,02;196;0,8;98;291;0,03;2,2;12;12;12;0,17;0,05;Tr;3,53;
400;0,35;344;9,5;82;281;0,26;3,7;3863;3863;3863;0,62;0,56;Tr;6,36;
401;0,06;249;1,1;122;408;0,05;0,8;7;7;7;0,05;0,04;0,52;11,07;
402;0,01;174;0,6;63;217;0,04;1,1;7;7;7;0,08;0,03;Tr;3,28;
403;Tr;233;0,6;70;283;0,03;1,6;Tr;Tr;Tr;0,09;Tr;Tr;11,20;
404;Tr;194;0,5;51;217;0,04;1,2;Tr;Tr;Tr;0,10;Tr;Tr;12,83;
405;0,01;190;0,5;73;238;0,03;1,2;4;4;4;0,12;0,03;Tr;3,28;
406;0,01;297;0,5;56;380;0,01;1,0;6;6;6;0,12;Tr;Tr;15,80;
407;0,01;213;0,4;62;252;0,05;0,6;4;4;4;0,09;Tr;Tr;2,58;
408;Tr;224;0,3;36;231;0,02;0,9;Tr;Tr;Tr;0,10;Tr;Tr;7,60;
409;0,01;222;0,4;56;267;0,03;0,7;2;2;2;0,10;Tr;Tr;5,86;
410;Tr;295;0,3;50;387;0,02;0,8;Tr;Tr;Tr;0,11;Tr;Tr;24,83;
411;Tr;252;1,2;96;323;0,06;2,2;8;8;8;0,10;0,05;Tr;11,20;
412;0,01;154;0,7;68;190;0,05;1,3;7;7;7;0,09;0,06;Tr;3,40;
413;Tr;281;1,2;106;382;0,07;2,2;11;11;11;0,10;0,05;Tr;10,20;
414;0,02;187;0,9;80;241;0,06;1,7;4;4;4;0,12;0,06;Tr;4,06;
415;0,36;141;1,9;869;383;0,16;1,7;Tr;;;0,06;0,08;0,04;3,53;
416;0,52;324;3,0;1252;660;0,17;3,2;Tr;;;0,13;0,06;Tr;2,73;
417;0,40;263;2,6;1090;538;0,18;3,0;Tr;;;0,18;0,06;Tr;5,77;
418;0,05;182;0,5;1126;280;0,05;0,7;Tr;;;0,11;0,05;Tr;4,60;
419;0,10;262;0,8;1374;364;0,04;1,2;Tr;;;0,11;0,05;Tr;5,67;
420;0,10;228;0,7;1351;356;0,09;1,0;Tr;;;0,12;0,04;Tr;5,97;
421;0,01;157;0,4;1176;316;0,04;1,4;Tr;;;0,49;0,05;Tr;2,60;
422;0,01;211;0,9;1432;409;0,06;3,1;Tr;;;0,41;0,07;Tr;5,83;
423;0,01;210;1,0;1456;427;0,07;3,5;Tr;;;0,40;0,07;Tr;6,60;
424;0,11;216;1,5;1212;247;0,08;1,0;25;;;0,14;0,06;Tr;3,00;
425;0,02;197;0,6;628;175;0,03;1,2;Tr;Tr;Tr;0,06;Tr;Tr;6,23;
426;Tr;217;0,9;711;281;0,36;1,4;Tr;Tr;Tr;0,06;Tr;Tr;4,23;
427;Tr;195;0,5;54;335;0,07;1,4;Tr;Tr;Tr;0,90;Tr;Tr;2,65;
428;0,01;290;0,8;63;404;0,07;2,2;10;10;10;0,34;Tr;Tr;3,25;
429;Tr;229;0,9;51;366;0,06;2,3;Tr;Tr;Tr;0,77;0,14;0,03;1,92;
430;Tr;201;1,0;63;246;0,07;3,1;Tr;Tr;Tr;0,71;0,05;Tr;10,63;
431;Tr;159;0,9;88;248;0,05;2,3;Tr;Tr;Tr;0,62;Tr;Tr;8,27;
432;Tr;238;0,5;39;311;0,03;1,8;Tr;Tr;Tr;0,75;0,07;0,11;12,43;
433;Tr;195;0,5;53;334;0,01;0,9;Tr;Tr;Tr;0,95;Tr;Tr;13,83;
434;0,01;31;1,4;616;228;0,23;0,6;Tr;Tr;Tr;0,07;0,03;Tr;Tr;
435;0,01;247;1,3;62;395;0,09;3,3;Tr;Tr;Tr;0,77;0,09;Tr;6,57;
436;Tr;192;0,9;102;256;0,16;1,7;Tr;Tr;Tr;1,06;0,06;Tr;5,67;
437;0,01;42;0,6;1158;24;0,05;1,4;Tr;Tr;Tr;0,20;0,06;Tr;1,43;
438;0,04;274;0,7;1021;295;0,04;1,3;Tr; ; ;0,62;0,03;Tr;3,78;
439;0,04;244;0,8;1039;307;0,04;1,5;Tr; ; ;0,50;0,03;Tr;4,00;
440;0,76;174;2,2;40;288;0,51;4,1;Tr;;;0,04;0,04;Tr;1,81;Tr
441;0,39;126;1,7;39;242;0,13;2,8;Tr;;;0,09;0,03;Tr;1,20;Tr
442;0,72;166;2,0;836;322;0,16;2,8;Tr;;;0,12;0,10;Tr;1,50;Tr
443;0,03;354;1,3;1574;548;0,05;3,2;Tr;;;0,88;0,23;Tr;12,49;
444;Tr;35;0,4;50;58;0,11;0,2;Tr;Tr;Tr;Tr;Tr;Tr;5,10;
445;0,01;95;0,9;125;171;0,10;0,8;Tr;Tr;Tr;Tr;Tr;Tr;5,03;
